Device ID,NMOS3_C8R5,,
Flags,,,
Remarks,,,
VG,IDS,IG,VDS
-1,3.08E-13,-8.19E-13,0.1
-1.1111,2.86E-13,-7.89E-13,0.1
-1.2222,3.17E-13,-8E-13,0.1
-1.3333,3.32E-13,-8E-13,0.1
-1.4444,2.91E-13,-7.78E-13,0.1
-1.5556,2.93E-13,-7.37E-13,0.1
-1.6667,2.81E-13,-7.62E-13,0.1
-1.7778,2.81E-13,-7.55E-13,0.1
-1.8889,3.34E-13,-7.48E-13,0.1
-2,3.29E-13,-6.93E-13,0.1
-2.111,3.63E-13,-6.89E-13,0.1
-2.222,3.79E-13,-6.68E-13,0.1
-2.333,2.66E-13,-7.86E-13,0.1
-2.444,2.05E-13,-7.85E-13,0.1
-2.556,2.03E-13,-7.44E-13,0.1
-2.667,2.41E-13,-7.53E-13,0.1
-2.778,2.92E-13,-7.35E-13,0.1
-2.889,2.57E-13,-7.54E-13,0.1
-3,1.89E-13,-7.42E-13,0.1
-3.111,2.98E-13,-7.5E-13,0.1
-3.222,3.25E-13,-7.49E-13,0.1
-3.333,3.2E-13,-7.25E-13,0.1
-3.444,2.57E-13,-7.44E-13,0.1
-3.556,3.04E-13,-7.11E-13,0.1
-3.667,2.75E-13,-7.36E-13,0.1
-3.778,2.76E-13,-6.85E-13,0.1
-3.889,2.52E-13,-8.13E-13,0.1
-4,5.45E-13,-9.18E-13,0.1
-4.111,3.29E-13,-7.73E-13,0.1
-4.222,2.87E-13,-7.3E-13,0.1
-4.333,3.07E-13,-7.36E-13,0.1
-4.444,3E-13,-7.37E-13,0.1
-4.556,2.58E-13,-7.57E-13,0.1
-4.667,3.53E-13,-7.37E-13,0.1
-4.778,2.93E-13,-7.49E-13,0.1
-4.889,3.64E-13,-7.48E-13,0.1
-5,2.98E-13,-7.72E-13,0.1
-5.111,3.1E-13,-7.57E-13,0.1
-5.222,3.35E-13,-7.36E-13,0.1
-5.333,3.41E-13,-7.57E-13,0.1
-5.444,3.4E-13,-7.97E-13,0.1
-5.556,2.91E-13,-7.96E-13,0.1
-5.667,3.47E-13,-8.07E-13,0.1
-5.778,3.63E-13,-8.08E-13,0.1
-5.889,3.3E-13,-8.01E-13,0.1
-6,3.2E-13,-8.12E-13,0.1
-6.111,3.26E-13,-8.22E-13,0.1
-6.222,3.81E-13,-8.41E-13,0.1
-6.333,3.52E-13,-8.38E-13,0.1
-6.444,2.99E-13,-8.19E-13,0.1
-6.556,3.65E-13,-8.41E-13,0.1
-6.667,3.66E-13,-8.44E-13,0.1
-6.778,3.99E-13,-8.65E-13,0.1
-6.889,3.66E-13,-8.66E-13,0.1
-7,3.39E-13,-8.58E-13,0.1
-7.111,3.59E-13,-8.53E-13,0.1
-7.222,3.59E-13,-8.61E-13,0.1
-7.333,3.9E-13,-8.79E-13,0.1
-7.444,3.81E-13,-8.91E-13,0.1
-7.556,2.78E-13,-1.243E-12,0.1
-7.667,3.56E-13,-8.82E-13,0.1
-7.778,4.07E-13,-8.93E-13,0.1
-7.889,4.44E-13,-9.42E-13,0.1
-8,4.46E-13,-8.78E-13,0.1
-8.111,3.49E-13,-9.42E-13,0.1
-8.222,3.98E-13,-9.48E-13,0.1
-8.333,4.88E-13,-1.061E-12,0.1
-8.444,4.8E-13,-9.62E-13,0.1
-8.556,4.79E-13,-9.21E-13,0.1
-8.667,5.49E-13,-1.058E-12,0.1
-8.778,4.7E-13,-1.018E-12,0.1
-8.889,5.21E-13,-1.026E-12,0.1
-9,5.18E-13,-1.139E-12,0.1
-9.111,5.34E-13,-1.117E-12,0.1
-9.222,2.56E-13,-1.265E-12,0.1
-9.333,6.64E-13,-1.13E-12,0.1
-9.444,6.54E-13,-1.192E-12,0.1
-9.556,6.55E-13,-1.376E-12,0.1
-9.667,7.75E-13,-1.423E-12,0.1
-9.778,7.92E-13,-1.529E-12,0.1
-9.889,8.03E-13,-1.651E-12,0.1
-10,8.39E-13,-1.638E-12,0.1
Device ID,NMOS3_C6R2,,
Flags,,,
Remarks,,,
VG,IDS,IG,VDS
-10,6.61E-12,-7.076E-12,0.1
-9.889,2.824E-12,-5.115E-12,0.1
-9.778,1.815E-12,-3.631E-12,0.1
-9.667,1.362E-12,-2.799E-12,0.1
-9.556,1.19E-12,-2.214E-12,0.1
-9.444,9E-13,-1.832E-12,0.1
-9.333,7.57E-13,-1.582E-12,0.1
-9.222,7.66E-13,-1.363E-12,0.1
-9.111,4.56E-13,-1.218E-12,0.1
-9,4.11E-13,-1.066E-12,0.1
-8.889,4.2E-13,-1.023E-12,0.1
-8.778,3.67E-13,-9.77E-13,0.1
-8.667,3.35E-13,-8.7E-13,0.1
-8.556,2.84E-13,-7.39E-13,0.1
-8.444,1.83E-13,-7.82E-13,0.1
-8.333,1.49E-13,-6.57E-13,0.1
-8.222,1.69E-13,-5.02E-13,0.1
-8.111,3.75E-13,-6.48E-13,0.1
-8,2E-15,-6.62E-13,0.1
-7.889,8.7E-14,-5.78E-13,0.1
-7.778,2.01E-13,-4.62E-13,0.1
-7.667,1.52E-13,-4.26E-13,0.1
-7.556,1.13E-13,-4.55E-13,0.1
-7.444,1.64E-13,-3.74E-13,0.1
-7.333,-2.6E-14,-4.43E-13,0.1
-7.222,1.8E-14,-3.77E-13,0.1
-7.111,2.1E-14,-2.72E-13,0.1
-7,1.63E-13,-5.13E-13,0.1
-6.889,3.5E-14,-4.11E-13,0.1
-6.778,-4.1E-14,-3.9E-13,0.1
-6.667,2E-14,-3.35E-13,0.1
-6.556,-2E-15,-3.2E-13,0.1
-6.444,2.4E-14,-2.74E-13,0.1
-6.333,4.5E-14,-2.87E-13,0.1
-6.222,1.7E-14,-2.64E-13,0.1
-6.111,3.1E-14,-2.65E-13,0.1
-6,-1E-14,-2.08E-13,0.1
-5.889,-3E-15,-2.29E-13,0.1
-5.778,-6.28E-13,-1.837E-12,0.1
-5.667,-3.24E-13,-9E-14,0.1
-5.556,-3.78E-13,-1.1E-13,0.1
-5.444,-3.73E-13,-1.21E-13,0.1
-5.333,-4.33E-13,-2.5E-14,0.1
-5.222,-4.16E-13,-1.07E-13,0.1
-5.111,-4.57E-13,-1.02E-13,0.1
-5,-4.22E-13,-2.7E-14,0.1
-4.889,-4.52E-13,7E-15,0.1
-4.778,-4.33E-13,-1E-14,0.1
-4.667,-4.81E-13,-2.3E-14,0.1
-4.556,-5.31E-13,0,0.1
-4.444,-5.16E-13,1.6E-14,0.1
-4.333,-5.04E-13,-8E-15,0.1
-4.222,-5.54E-13,1.35E-13,0.1
-4.111,-5.54E-13,3.7E-14,0.1
-4,-5.89E-13,4.3E-14,0.1
-3.889,-5.99E-13,9.4E-14,0.1
-3.778,-6.66E-13,1.58E-13,0.1
-3.667,-7.52E-13,2.5E-13,0.1
-3.556,-8.75E-13,3.04E-13,0.1
-3.444,-8.96E-13,3.99E-13,0.1
-3.333,-9.16E-13,4.49E-13,0.1
-3.222,-1.018E-12,5.24E-13,0.1
-3.111,-1.017E-12,6.03E-13,0.1
-3,-1.038E-12,6.04E-13,0.1
-2.889,-8.87E-13,6.45E-13,0.1
-2.778,-2.47E-13,6.7E-13,0.1
-2.667,1.178E-12,6.35E-13,0.1
-2.556,4.639E-12,6.48E-13,0.1
-2.444,1.1764E-11,7.23E-13,0.1
-2.333,2.617E-11,8.94E-13,0.1
-2.222,5.4922E-11,8.51E-13,0.1
-2.111,1.11329E-10,8.71E-13,0.1
-2,2.07275E-10,8.94E-13,0.1
-1.8889,3.70298E-10,7.28E-13,0.1
-1.7778,6.19295E-10,9.05E-13,0.1
-1.6667,1.09156E-09,1.71E-13,0.1
-1.5556,1.38898E-09,2.016E-12,0.1
-1.4444,2.13238E-09,2.191E-12,0.1
-1.3333,3.14566E-09,2.259E-12,0.1
-1.2222,4.45218E-09,2.222E-12,0.1
-1.1111,5.94507E-09,2.477E-12,0.1
-1,0.000000008,2.435E-12,0.1
-0.8889,1.035132E-08,2.252E-12,0.1
-0.7778,1.36731E-08,2.055E-12,0.1
-0.6667,1.64142E-08,2.612E-12,0.1
-0.5556,2.05845E-08,2.126E-12,0.1
-0.4444,2.51125E-08,2.084E-12,0.1
-0.3333,3.02246E-08,1.762E-12,0.1
-0.2222,3.56801E-08,1.697E-12,0.1
-0.1111,4.15601E-08,1.586E-12,0.1
0,4.79338E-08,1.831E-12,0.1
0.1111,5.44003E-08,2.179E-12,0.1
0.2222,6.22364E-08,1.763E-12,0.1
0.3333,7.12276E-08,1.136E-12,0.1
0.4444,7.97893E-08,1.416E-12,0.1
0.5556,8.97648E-08,1.227E-12,0.1
0.6667,9.96109E-08,1.174E-12,0.1
0.7778,1.101903E-07,9.43E-13,0.1
0.8889,1.21795E-07,8.66E-13,0.1
1,1.32916E-07,5.47E-13,0.1
1.1111,1.45634E-07,5.98E-13,0.1
1.2222,1.58832E-07,4.74E-13,0.1
1.3333,1.70868E-07,3.75E-13,0.1
1.4444,1.85581E-07,-2.32E-13,0.1
1.5556,1.99859E-07,6.3E-13,0.1
1.6667,2.13405E-07,2.08E-13,0.1
1.7778,0.000000228,-4.9E-14,0.1
1.8889,2.44388E-07,1.95E-13,0.1
2,2.59554E-07,3.98E-13,0.1
2.111,2.7518E-07,2.33E-13,0.1
2.222,2.91075E-07,2.15E-13,0.1
2.333,3.06575E-07,9.39E-13,0.1
2.444,0.000000322,6.81E-13,0.1
2.556,3.40713E-07,4.81E-13,0.1
2.667,3.56727E-07,3.21E-13,0.1
2.778,3.73829E-07,1.76E-13,0.1
2.889,3.90606E-07,3.72E-13,0.1
3,4.08497E-07,1.14E-13,0.1
3.111,4.25353E-07,-9.1E-14,0.1
3.222,4.43159E-07,6.4E-14,0.1
3.333,4.60397E-07,2.92E-13,0.1
3.444,4.78429E-07,7.74E-13,0.1
3.556,4.94761E-07,1.24E-13,0.1
3.667,5.158E-07,-8.1E-14,0.1
3.778,0.000000533,1.48E-13,0.1
3.889,5.51393E-07,1.22E-13,0.1
4,5.67683E-07,5E-14,0.1
4.111,5.87814E-07,3.7E-14,0.1
4.222,6.04233E-07,2.62E-13,0.1
4.333,6.22085E-07,3.61E-13,0.1
4.444,6.40745E-07,-2.3E-14,0.1
4.556,6.59896E-07,1.26E-13,0.1
4.667,6.75366E-07,3.19E-13,0.1
4.778,6.92476E-07,3.77E-13,0.1
4.889,7.08694E-07,5.2E-13,0.1
5,7.25361E-07,2.7E-14,0.1
5.111,0.000000746,1.55E-13,0.1
5.222,7.61783E-07,2.08E-13,0.1
5.333,7.75213E-07,9.5E-14,0.1
5.444,7.91918E-07,4.78E-13,0.1
5.556,8.06569E-07,-1.5E-13,0.1
5.667,0.000000827,3.67E-13,0.1
5.778,8.42436E-07,7.64E-13,0.1
5.889,8.56714E-07,-9.4E-14,0.1
6,8.73131E-07,1.11E-13,0.1
6.111,8.87467E-07,6.42E-13,0.1
6.222,0.000000904,2.84E-13,0.1
6.333,9.20805E-07,4.3E-14,0.1
6.444,9.37094E-07,5.1E-14,0.1
6.556,9.52511E-07,5.67E-13,0.1
6.667,9.67287E-07,6.43E-13,0.1
6.778,0.000000984,6E-14,0.1
6.889,9.98656E-07,1.88E-13,0.1
7,1.013109E-06,7.09E-13,0.1
7.111,1.028787E-06,4.41E-13,0.1
7.222,1.043373E-06,2.76E-13,0.1
7.333,1.056308E-06,5.37E-13,0.1
7.444,0.000001067,-1.06E-13,0.1
7.556,1.083457E-06,2.47E-13,0.1
7.667,1.098465E-06,2.93E-13,0.1
7.778,1.11173E-06,3.9E-13,0.1
7.889,1.126623E-06,3.45E-13,0.1
8,1.13248E-06,4.82E-13,0.1
8.111,1.14739E-06,4.21E-13,0.1
8.222,1.16333E-06,4.99E-13,0.1
8.333,1.17574E-06,4.34E-13,0.1
8.444,0.000001189,1.84E-13,0.1
8.556,1.20149E-06,4.8E-14,0.1
8.667,1.21565E-06,4.92E-13,0.1
8.778,1.22806E-06,4.03E-13,0.1
8.889,1.24087E-06,1.33E-13,0.1
9,1.25327E-06,7.25E-13,0.1
9.111,1.26461E-06,2.74E-13,0.1
9.222,1.27968E-06,3.73E-13,0.1
9.333,1.29017E-06,5.24E-13,0.1
9.444,1.29987E-06,5.26E-13,0.1
9.556,1.31267E-06,-5E-13,0.1
9.667,1.32631E-06,5.78E-13,0.1
9.778,1.33425E-06,6.77E-13,0.1
9.889,1.34739E-06,4.58E-13,0.1
10,1.35992E-06,5.13E-13,0.1
10,1.31028E-06,4.85E-13,0.1
9.889,1.19463E-06,7.2E-14,0.1
9.778,1.09667E-06,-1.58E-13,0.1
9.667,1.006759E-06,3.57E-13,0.1
9.556,0.000000923,-2.07E-13,0.1
9.444,8.47837E-07,-4.25E-13,0.1
9.333,0.000000781,2.39E-13,0.1
9.222,7.17882E-07,-2.23E-13,0.1
9.111,6.60223E-07,-2.52E-13,0.1
9,0.000000609,1.94E-13,0.1
8.889,5.5884E-07,-1.71E-13,0.1
8.778,5.10282E-07,-1.04E-13,0.1
8.667,4.66916E-07,-4.65E-13,0.1
8.556,4.27873E-07,-2.71E-13,0.1
8.444,3.91271E-07,1.95E-13,0.1
8.333,3.55582E-07,9E-14,0.1
8.222,3.24178E-07,-4.45E-13,0.1
8.111,2.94275E-07,-8.3E-14,0.1
8,0.000000266,-1.25E-13,0.1
7.889,2.40285E-07,-2.94E-13,0.1
7.778,2.17683E-07,-7.6E-13,0.1
7.667,1.95772E-07,1.01E-13,0.1
7.556,1.74276E-07,-2.6E-13,0.1
7.444,1.55368E-07,8.6E-14,0.1
7.333,1.38222E-07,1.31E-13,0.1
7.222,1.22381E-07,-1.46E-13,0.1
7.111,1.08325E-07,-1.42E-13,0.1
7,9.55212E-08,-5.1E-14,0.1
6.889,8.36608E-08,-3.51E-13,0.1
6.778,7.37066E-08,-6.5E-14,0.1
6.667,6.30537E-08,-9E-14,0.1
6.556,5.45678E-08,-2.03E-13,0.1
6.444,4.7342E-08,-1.05E-13,0.1
6.333,4.05916E-08,3.5E-14,0.1
6.222,3.44727E-08,-1.13E-13,0.1
6.111,2.92124E-08,-4.58E-13,0.1
6,2.4748E-08,-8.2E-14,0.1
5.889,2.08973E-08,1.07E-13,0.1
5.778,1.74093E-08,-1E-14,0.1
5.667,1.44738E-08,-2.34E-13,0.1
5.556,0.000000012,-2.71E-13,0.1
5.444,9.7502E-09,1.88E-13,0.1
5.333,8.09594E-09,-5.34E-13,0.1
5.222,6.42705E-09,-3.77E-13,0.1
5.111,5.1228E-09,-3.98E-13,0.1
