Device ID,EDOP3_C10R8,,
Flags,,,
Remarks,,,
VG,IDS,IG,VDS
-9.778,1.10535E-10,-2.75E-13,0.1
-9.667,1.26755E-10,-1.55E-13,0.1
-9.556,1.45023E-10,-1.19E-13,0.1
-9.444,1.65425E-10,-1.05E-13,0.1
-9.333,1.88121E-10,-9.4E-14,0.1
-9.222,2.13646E-10,-5.4E-14,0.1
-9.111,2.42631E-10,-5.9E-14,0.1
-9,2.74796E-10,-2.7E-14,0.1
-8.889,3.10658E-10,-3.9E-14,0.1
-8.778,3.51455E-10,-3.8E-14,0.1
-8.667,3.96512E-10,-3.5E-14,0.1
-8.556,4.47961E-10,-2.4E-14,0.1
-8.444,5.06243E-10,-1.2E-14,0.1
-8.333,5.70899E-10,-3E-15,0.1
-8.222,6.42791E-10,1.1E-14,0.1
-8.111,7.23947E-10,1.1E-14,0.1
-8,8.14628E-10,-1.4E-14,0.1
-7.889,9.14265E-10,-3E-14,0.1
-7.778,0.000000001,-1.1E-14,0.1
-7.667,1.14844E-09,1E-15,0.1
-7.556,1.29962E-09,1.9E-14,0.1
-7.444,1.46496E-09,4E-14,0.1
-7.333,1.64431E-09,1.9E-14,0.1
-7.222,1.84369E-09,4.9E-14,0.1
-7.111,2.06479E-09,3E-14,0.1
-7,2.31084E-09,1.4E-14,0.1
-6.889,2.5803E-09,3.9E-14,0.1
-6.778,2.88089E-09,6.2E-14,0.1
-6.667,3.21531E-09,5.2E-14,0.1
-6.556,3.58454E-09,4.9E-14,0.1
-6.444,0.000000004,3.3E-14,0.1
-6.333,4.45132E-09,6.2E-14,0.1
-6.222,4.94757E-09,5.2E-14,0.1
-6.111,5.50239E-09,6.3E-14,0.1
-6,6.11184E-09,6.4E-14,0.1
-5.889,6.77168E-09,5.9E-14,0.1
-5.778,7.5059E-09,4.4E-14,0.1
-5.667,8.30415E-09,5.5E-14,0.1
-5.556,9.18765E-09,5.8E-14,0.1
-5.444,1.016237E-08,3.9E-14,0.1
-5.333,1.12175E-08,5E-14,0.1
-5.222,1.23332E-08,2.1E-14,0.1
-5.111,1.36096E-08,2.3E-14,0.1
-5,0.000000015,3.1E-14,0.1
-4.889,1.64946E-08,4.3E-14,0.1
-4.778,1.8134E-08,3.4E-14,0.1
-4.667,1.9918E-08,3.6E-14,0.1
-4.556,2.18556E-08,1.9E-14,0.1
-4.444,2.39469E-08,2.6E-14,0.1
-4.333,2.62247E-08,6.2E-14,0.1
-4.222,2.86657E-08,3.4E-14,0.1
-4.111,3.13072E-08,3.1E-14,0.1
-4,3.4177E-08,5.1E-14,0.1
-3.889,3.7271E-08,5.4E-14,0.1
-3.778,4.05671E-08,8.4E-14,0.1
-3.667,4.41311E-08,1.09E-13,0.1
-3.556,0.000000048,-1.7E-14,0.1
